bench,suite,system,surface,engine,run_dir,task_dir,task_id,attempt_number,grade_type,score,agent_latency_s,url_citations,citation_unique_urls,citation_content_chars_total,turns,tool_calls,f1_by_item,f1_by_row,precision_by_item,precision_by_row,recall_by_item,recall_by_row,success_rate
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000047-7628d050-c35d-5b58-90bf-c329ef91960d,7628d050-c35d-5b58-90bf-c329ef91960d,1,INCORRECT,0.0,14.674,20,17,28283,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000048-0143f2c5-9d64-5bbe-a89c-7b18635daeb6,0143f2c5-9d64-5bbe-a89c-7b18635daeb6,1,CORRECT,1.0,37.52,14,13,12073,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000049-78133566-b94f-5bdc-8361-66ca0f3a4edb,78133566-b94f-5bdc-8361-66ca0f3a4edb,1,CORRECT,1.0,32.892,9,6,17971,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000050-b806404c-3f60-5e17-a0ac-e5824829304c,b806404c-3f60-5e17-a0ac-e5824829304c,1,INCORRECT,0.0,402.099,20,13,13701,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000051-f3e0621e-3ad5-55d8-b423-dcf246d4a3f4,f3e0621e-3ad5-55d8-b423-dcf246d4a3f4,1,INCORRECT,0.0,30.168,22,19,26396,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000052-1d323f77-7387-50dd-a558-3ea75e9c0e95,1d323f77-7387-50dd-a558-3ea75e9c0e95,1,INCORRECT,0.0,10.446,10,10,8933,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000053-73107ae4-d98e-5ed6-bd1b-c5df3302116e,73107ae4-d98e-5ed6-bd1b-c5df3302116e,1,INCORRECT,0.0,12.42,20,17,8728,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000054-fdc14652-d731-5725-8a2c-c4a11aeced8c,fdc14652-d731-5725-8a2c-c4a11aeced8c,1,INCORRECT,0.0,10.073,18,16,26000,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000055-722b6a3a-0f17-588f-b1fe-a6abb1ad50c2,722b6a3a-0f17-588f-b1fe-a6abb1ad50c2,1,INCORRECT,0.0,13.945,15,10,3364,1,0,,,,,,,
pi-glm-5-2-evalkey-clean,dsqa,pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity,1-turn,perplexity,runs/pi-openrouter-web-search-1call-defaults-glm-5-2-nitro-perplexity-dsqa-pi-glm-5-2-evalkey-clean-scale-seed0-77758ea77c9c,000056-6ede80e7-39df-5356-9caf-423fdb3e52aa,6ede80e7-39df-5356-9caf-423fdb3e52aa,1,INCORRECT,0.0,8.105,20,19,24866,1,0,,,,,,,
